form subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
NProf B c6 192 24.44 22.50 153 237 11.0 4.4 1.15 0.23 4.61 -3.52 2.66 3.93 2.1 15 -18.8 -26.3 10.7 9.9 9.4 3.1 
NProf B c7 196 27.86 16.02 151 277 41.5 29.4 1.58 0.45 6.37 -5.14 5.93 4.96 2.6 16 -16.5 -26.6 12.3 15.0 8.0 2.7 
NProf B c8 192 24.87 15.07 134 255 28.5 9.2 1.36 0.19 4.13 -4.05 3.45 3.47 1.9 13 -18.9 -25.5 12.9 9.7 9.4 2.6 
NProf B c9 205 28.60 13.50 184 386 69.9 5.6 1.56 0.21 8.48 -2.56 9.26 3.52 2.2 17 -17.6 -22.0 12.1 11.5 8.7 2.3 
NProf B c10 207 26.18 22.21 171 271 25.3 18.9 2.19 0.12 6.11 -4.71 4.81 5.15 2.0 14 -18.5 -23.8 11.0 9.1 9.6 2.8 
NProf B c11 210 22.76 11.67 145 256 21.7 11.3 1.44 0.06 5.22 -3.84 4.73 3.88 2.5 17 -19.5 -24.2 12.8 12.0 8.7 2.4 
NProf B c12 183 31.82 14.32 155 301 46.9 5.9 1.55 0.25 3.96 -3.85 3.25 4.42 1.3 13 -17.2 -24.4 13.5 11.8 8.5 2.5 
NProf B c13 203 21.95 13.04 159 258 23.5 9.3 1.39 0.37 4.03 -3.94 2.93 3.87 1.7 19 -19.6 -27.4 13.5 12.8 8.2 2.3 
NProf B c14 197 24.23 18.69 154 261 33.7 8.5 1.51 0.38 4.00 -3.88 3.61 3.76 1.5 14 -19.9 -29.2 13.4 12.2 7.9 2.5 
NProf B c15 182 24.19 18.54 154 243 28.1 10.9 1.33 0.21 4.51 -4.55 3.22 3.67 1.8 14 -20.0 -25.4 13.8 13.3 8.0 2.3 
NProf B c16 192 16.66 8.57 161 226 13.8 10.0 1.87 0.22 4.39 -2.33 3.26 1.94 2.0 15 -19.2 -24.2 11.5 14.3 8.4 2.8 
NProf B c17 189 17.79 10.02 150 229 17.4 9.3 1.33 0.16 3.15 -1.91 3.05 2.39 1.6 21 -20.6 -26.5 13.4 14.0 7.6 2.3 
