form subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
Prof H c1 166 44.15 34.89 130 270 55.7 6.6 1.31 0.02 2.40 -5.97 2.13 5.01 2.9 18 -13.5 -22.4 12.9 18.6 8.0 2.2 
Prof H c2 190 35.12 29.45 124 235 NA 2.9 NA NA 2.29 -2.61 1.26 2.51 3.5 16 -13.5 -21.1 12.1 22.6 9.9 2.8 
Prof H c3 159 26.91 23.65 118 211 23.9 10.5 2.08 0.27 3.98 -3.59 2.83 3.64 3.1 17 -14.4 -20.9 12.2 15.8 9.4 2.2 
Prof H c4 195 43.16 43.30 132 271 61.3 5.6 1.71 0.47 0.96 -2.63 0.72 3.09 3.6 25 -13.7 -19.7 11.4 19.5 10.1 2.2 
Prof H c5 133 34.79 18.43 115 218 58.9 7.7 1.63 NA 4.88 -3.55 3.03 3.92 2.3 18 -15.0 -23.4 10.6 17.0 8.3 2.7 
Prof H c6 197 24.99 21.79 142 243 24.7 4.2 1.82 0.40 2.49 -3.26 3.16 3.96 2.0 20 -17.4 -23.0 13.5 10.2 8.3 2.5 
Prof H c7 161 28.11 19.23 113 211 34.9 18.3 1.24 0.61 3.44 -2.96 3.18 3.76 2.5 23 -13.3 -24.6 13.2 20.7 8.7 2.1 
Prof H c8 165 35.33 25.90 119 294 52.8 7.0 1.66 0.37 4.76 -4.73 3.48 4.99 2.2 15 -15.7 -22.5 12.8 12.8 8.9 2.8 
Prof H c9 191 26.29 20.01 143 239 23.6 13.7 1.78 0.24 5.58 -4.26 3.50 5.79 2.8 22 -15.0 -24.3 13.4 13.8 8.9 2.4 
Prof H c10 182 24.05 21.48 125 206 17.5 10.1 1.38 0.52 3.17 -2.45 2.59 2.27 1.8 17 -16.8 -22.7 13.5 17.3 8.5 2.3 
Prof H c11 159 37.41 20.98 118 249 48.2 5.9 1.69 0.22 4.12 -2.37 4.91 3.19 2.8 20 -16.1 -23.5 11.0 14.8 9.6 3.1 
Prof H c12 140 16.21 7.93 114 184 16.5 11.6 1.49 0.34 4.05 -3.34 2.90 2.84 2.2 16 -14.5 -25.4 11.0 18.8 8.6 2.7 
Prof H c13 171 31.93 16.51 121 268 43.5 4.3 1.49 0.58 2.37 -4.47 2.48 4.72 2.2 18 -15.7 -22.2 11.6 15.3 9.3 2.8 
Prof H c14 159 36.95 29.72 117 242 40.4 3.9 1.50 0.34 3.58 -2.57 3.86 2.76 2.8 16 -13.1 -27.3 12.5 17.6 8.7 2.6 
Prof H c15 158 34.08 18.93 114 275 41.3 8.9 1.46 0.27 4.13 -6.27 4.23 5.43 2.6 18 -13.5 -23.9 12.4 17.5 7.7 2.6 
Prof H c16 148 25.87 25.06 116 198 30.7 13.7 1.57 0.02 5.24 -4.20 4.01 3.86 2.9 18 -12.5 -22.5 7.9 18.0 11.2 3.8 
Prof H c17 165 34.67 20.36 116 260 46.3 6.1 1.59 0.32 4.35 -3.81 2.91 5.03 2.6 21 -16.7 -24.4 11.4 14.5 8.3 2.9 
Prof H c18 160 41.04 19.48 120 277 46.1 5.1 1.66 0.18 4.64 -3.39 2.40 3.21 2.4 21 -13.6 -24.0 12.6 16.2 7.9 2.5 
Prof H c19 135 36.27 28.57 114 224 44.7 3.6 1.38 0.56 3.49 -2.16 3.05 2.82 3.8 15 -16.6 -24.1 11.8 13.5 8.4 2.5 
Prof H c20 181 35.92 27.04 116 233 27.2 6.5 1.53 0.09 3.36 -3.72 2.12 3.68 2.3 19 -14.6 -22.6 13.4 18.7 7.5 2.4 
Prof H c21 147 54.34 36.90 124 276 59.2 8.0 1.58 0.21 3.64 -4.21 2.70 5.44 2.1 23 -15.9 -24.2 12.6 13.5 9.2 2.7 
Prof H c22 200 46.75 35.04 124 367 78.9 7.0 1.82 0.13 12.49 -5.68 14.07 6.86 2.0 20 -13.5 -23.9 15.0 12.0 7.1 2.0 
Prof H c23 162 46.03 47.40 116 256 55.4 5.7 1.79 0.19 4.09 -3.01 3.24 3.48 2.1 16 -15.0 -22.1 13.3 12.0 7.4 2.3 
Prof H c24 166 35.30 34.84 127 232 33.5 6.3 1.65 0.38 5.03 -3.56 3.66 3.32 2.9 19 -15.8 -24.5 12.4 18.4 8.7 2.5 
Prof H c25 177 54.93 33.85 123 411 93.1 6.4 1.77 0.22 14.72 -4.54 13.90 5.33 2.5 20 -14.9 -24.5 11.6 17.5 9.9 2.7 
Prof H c26 139 29.08 23.37 113 224 32.9 8.7 1.88 0.24 3.78 -2.96 3.46 2.75 3.1 16 -11.8 -21.0 11.0 17.3 8.9 2.6 
Prof H c27 154 30.70 30.19 128 223 34.3 11.9 1.91 0.07 4.39 -3.71 3.43 4.60 2.2 21 -16.5 -24.3 12.7 17.7 8.0 2.9 
Prof H c28 141 16.60 7.18 115 197 17.9 10.3 1.25 0.49 3.21 -2.78 3.13 3.02 3.5 17 -16.6 -26.4 11.7 12.8 9.3 2.8 
Prof H c29 140 35.36 21.90 115 245 37.1 7.2 1.79 0.19 2.75 -3.71 2.67 3.31 3.0 17 -13.6 -21.6 10.7 15.3 8.4 2.6 
Prof H c30 180 37.37 33.97 116 247 45.7 7.0 1.22 0.39 3.72 -3.72 3.26 4.64 2.5 18 -15.6 -23.6 14.5 18.3 8.0 2.5 
Prof Re c1 232 45.20 35.83 146 298 54.1 7.5 1.70 0.42 7.21 -5.75 4.60 5.00 2.1 17 -18.3 -21.1 12.3 13.5 6.2 1.9 
Prof Re c2 239 16.01 6.42 194 250 6.6 7.0 2.84 0.18 2.44 -2.80 2.47 3.46 2.4 15 -19.2 -25.0 13.3 13.2 7.4 2.3 
Prof Re c3 211 34.72 30.72 147 264 36.3 6.5 1.98 0.06 5.23 -3.54 3.57 4.84 1.6 16 -19.9 -22.8 13.4 7.3 8.3 2.0 
Prof Re c4 177 42.93 39.59 131 266 58.6 6.2 2.11 0.29 4.96 -3.48 4.96 5.42 2.0 19 -18.3 -21.2 11.1 13.6 8.7 2.3 
Prof Re c5 197 41.65 34.87 138 286 50.9 7.7 1.63 0.02 5.18 -4.60 3.55 5.12 1.2 17 -20.6 -22.4 12.9 14.8 6.2 2.5 
Prof Re c6 236 31.28 20.18 158 283 26.3 5.4 2.14 0.22 3.77 -4.03 3.39 3.85 1.6 16 -19.8 -24.5 13.6 7.9 6.9 2.2 
Prof Re c7 156 38.77 32.88 130 253 48.6 5.4 1.71 0.38 5.25 -4.39 4.50 4.98 1.3 20 -16.6 -22.9 13.9 13.8 6.1 2.4 
Prof Re c8 207 40.84 36.49 139 282 41.9 12.7 1.64 0.20 7.57 -4.81 5.67 4.65 1.0 16 -20.7 -23.7 12.3 13.1 7.5 2.6 
Prof Re c9 233 44.64 29.54 135 306 52.6 12.2 1.52 0.24 8.33 -6.69 6.26 7.17 1.8 17 -20.3 -22.8 11.8 11.4 6.9 2.3 
Prof Re c10 181 34.13 31.79 147 262 34.8 11.1 1.90 0.20 5.44 -4.30 3.34 3.28 1.5 15 -18.4 -26.6 13.0 14.7 6.7 2.2 
Prof Re c11 211 37.32 32.46 143 296 41.8 9.0 1.87 0.16 5.19 -4.84 4.39 4.94 1.2 18 -20.8 -24.7 12.9 13.0 7.2 2.5 
Prof Re c12 181 44.71 29.61 148 355 67.9 6.5 1.68 0.14 5.34 -5.85 6.48 5.97 1.1 17 -18.1 -23.8 13.4 15.1 7.0 2.1 
Prof Re c13 220 44.66 32.37 139 307 44.0 7.1 1.45 0.34 6.93 -6.69 4.49 4.59 1.4 18 -19.8 -25.3 13.5 10.6 7.3 2.1 
Prof Re c14 193 42.86 29.80 142 324 49.3 5.0 1.94 0.18 5.20 -5.44 3.34 6.59 1.1 16 -19.9 -28.9 13.5 13.1 7.0 2.8 
Prof Re c15 183 36.54 25.36 143 283 35.1 8.6 1.48 0.23 6.21 -5.04 3.59 3.73 1.2 16 -20.6 -27.3 14.0 14.3 6.7 2.3 
Prof Re c16 244 44.95 40.95 144 293 39.4 6.7 1.92 0.35 4.24 -4.21 3.69 4.30 1.2 16 -19.6 -28.3 13.3 14.8 7.3 2.5 
Prof Re c17 211 39.99 35.54 140 274 41.4 9.6 1.65 0.24 5.04 -5.00 3.61 5.15 1.1 18 -21.8 -29.1 14.6 10.9 5.8 2.0 
Prof Re c18 199 40.88 33.06 147 303 47.7 14.5 1.59 0.20 8.10 -7.28 4.36 5.44 1.1 17 -18.2 -26.4 13.1 13.4 6.9 2.4 
Prof Re c19 180 30.09 19.47 146 251 31.0 11.9 1.73 0.13 5.75 -4.30 3.62 3.74 1.5 14 -16.9 -24.0 11.4 11.7 7.8 2.6 
Prof Re c20 260 40.87 13.73 136 305 20.4 5.9 1.71 0.24 3.02 -4.29 2.07 3.56 1.0 16 -21.6 -25.2 16.1 12.3 6.6 2.0 
Prof Re c21 195 33.80 29.41 140 270 50.1 15.6 1.44 0.37 7.96 -3.51 4.84 5.06 1.2 22 -23.5 -24.9 13.0 7.8 7.4 2.8 
Prof Re c22 175 26.91 20.31 138 231 29.3 9.5 2.63 0.09 6.54 -4.43 4.13 4.40 1.4 18 -19.8 -23.4 12.3 5.3 7.0 2.2 
Prof Re c23 216 33.89 27.77 144 279 36.5 8.9 1.45 0.34 5.81 -4.65 4.01 4.04 1.1 17 -20.2 -22.4 13.0 12.5 6.6 2.4 
Prof Re c24 184 38.82 28.43 143 295 52.3 9.1 1.62 0.25 5.49 -6.18 4.41 6.68 1.5 18 -18.0 -19.8 11.4 8.1 8.0 2.7 
Prof Re c25 197 36.58 29.51 139 261 44.5 11.0 1.94 0.23 4.52 -4.41 3.15 4.95 1.1 18 -21.2 -23.5 12.7 10.5 6.9 2.2 
Prof Re c26 181 46.24 39.79 146 299 53.3 6.5 1.61 0.33 5.12 -4.92 4.18 4.94 1.3 14 -17.3 -22.1 12.7 11.0 7.6 2.5 
Prof Re c27 186 51.43 50.30 144 304 59.8 4.7 1.73 0.28 6.11 -5.10 4.59 5.63 1.0 18 -18.8 -26.6 14.7 14.8 6.8 2.2 
Prof Re c28 191 34.43 24.85 144 272 36.1 4.3 1.40 0.50 4.42 -3.65 3.75 3.97 1.4 15 -20.1 -27.3 14.2 11.7 7.2 2.2 
Prof Re c29 181 43.06 34.92 142 297 47.9 7.7 1.58 0.27 6.44 -6.22 4.92 5.58 1.3 17 -20.4 -24.8 13.2 12.0 7.8 2.7 
Prof Re c30 216 49.34 47.96 136 299 52.4 10.7 1.19 0.41 5.69 -5.54 4.39 4.90 1.1 16 -19.3 -24.6 14.5 13.6 6.4 1.9 
Prof Ro c1 210 47.17 27.14 156 312 46.2 4.4 1.58 0.21 5.95 -11.20 3.36 9.08 2.1 17 -15.1 -20.8 11.7 10.2 8.0 1.8 
Prof Ro c2 175 30.01 26.88 146 237 46.0 9.5 2.44 0.09 5.76 -7.56 5.12 6.44 2.3 16 -15.8 -22.4 10.7 14.8 10.7 2.7 
Prof Ro c3 182 18.11 10.30 139 210 11.6 16.4 1.95 0.23 4.86 -4.76 3.43 4.95 2.2 17 -18.1 -17.8 9.6 9.6 11.7 2.5 
Prof Ro c4 187 51.58 47.53 127 279 69.6 9.7 2.19 0.16 4.58 -4.94 4.20 6.46 2.2 22 -16.5 -13.4 8.9 15.0 10.7 2.8 
Prof Ro c5 172 53.97 28.06 127 316 59.7 4.6 1.92 0.25 5.48 -7.58 3.33 8.39 1.1 17 -19.6 -22.4 11.2 13.3 9.3 2.3 
Prof Ro c6 179 48.41 38.19 137 285 61.2 6.9 1.85 0.25 5.14 -4.88 5.13 5.93 1.9 19 -15.6 -18.3 10.1 13.5 9.7 2.7 
Prof Ro c7 163 45.62 32.50 125 300 65.3 9.3 1.32 0.90 3.83 -6.51 2.10 7.55 1.8 22 -14.0 -21.2 12.2 12.1 9.5 2.7 
Prof Ro c8 176 51.35 44.79 130 302 61.0 5.6 1.60 0.04 7.10 -3.70 6.06 4.29 1.6 15 -16.5 -21.0 11.4 10.9 10.7 2.6 
Prof Ro c9 187 46.92 33.77 138 303 53.9 15.2 1.42 0.26 7.72 -7.57 4.55 9.31 1.9 22 -16.3 -18.2 9.5 8.9 10.3 2.6 
Prof Ro c10 185 51.43 37.49 138 314 67.2 7.4 1.55 0.25 5.69 -5.67 5.13 5.00 1.8 17 -15.2 -19.7 10.3 13.6 8.9 2.6 
Prof Ro c11 195 42.65 31.81 124 310 64.2 8.0 1.96 0.21 7.30 -6.53 5.20 8.06 1.8 21 -18.2 -20.8 10.1 12.9 9.7 2.8 
Prof Ro c12 174 56.55 29.56 124 377 86.2 3.8 1.54 0.11 6.98 -7.85 4.59 8.30 1.6 17 -16.5 -22.6 12.4 14.7 9.4 2.5 
Prof Ro c13 244 52.57 43.31 136 318 43.5 3.0 1.21 0.41 5.87 -6.07 4.59 7.07 1.6 21 -17.1 -19.7 12.4 12.0 10.0 2.7 
Prof Ro c14 157 52.45 16.00 131 347 70.5 3.9 1.61 0.27 6.55 -5.10 7.03 6.94 1.2 17 -16.8 -25.8 11.3 12.5 8.9 2.7 
Prof Ro c15 180 48.93 38.27 135 295 59.6 4.1 1.56 0.35 5.95 -5.72 5.07 5.95 1.5 17 -15.0 -23.8 12.3 13.8 8.1 2.4 
Prof Ro c16 158 15.86 11.34 139 198 16.1 17.1 2.12 0.31 3.28 -2.78 3.06 2.79 2.6 18 -14.1 -21.6 9.9 14.0 11.1 2.7 
Prof Ro c17 188 41.97 32.61 127 301 55.1 8.5 1.34 0.30 6.17 -5.45 3.77 6.61 2.4 23 -19.2 -23.4 12.5 13.7 9.0 2.7 
Prof Ro c18 187 71.56 69.26 121 346 83.0 3.8 0.99 0.28 6.81 -7.32 5.33 6.70 1.3 19 -15.8 -22.8 12.3 14.4 9.4 2.4 
Prof Ro c19 157 17.52 13.10 131 206 22.1 5.1 1.77 0.14 2.98 -2.49 2.11 1.98 2.0 16 -17.1 -20.1 10.3 8.1 11.9 3.0 
Prof Ro c20 152 61.07 53.81 131 308 75.7 3.6 1.43 0.73 2.11 -5.26 2.24 3.75 1.7 15 -15.1 -20.3 11.7 14.7 9.2 2.3 
Prof Ro c21 191 46.23 26.52 121 301 56.3 8.4 1.74 0.33 7.44 -5.25 5.18 6.27 1.8 22 -19.4 -22.0 11.8 12.7 10.4 2.6 
Prof Ro c22 168 35.10 31.26 125 247 61.3 28.3 1.39 0.80 7.42 -4.03 4.22 6.26 2.2 21 -13.9 -17.7 11.0 14.7 9.2 2.9 
Prof Ro c23 231 31.56 19.99 150 310 52.9 3.9 2.05 0.13 3.53 -5.21 2.77 6.49 2.7 17 -17.9 -17.9 12.1 13.1 8.9 2.2 
Prof Ro c24 194 41.11 40.81 120 273 41.6 6.8 1.66 0.31 4.53 -5.75 3.23 5.91 2.9 19 -19.3 -20.5 11.6 12.7 7.9 2.6 
Prof Ro c25 188 26.73 18.58 123 249 36.4 14.9 1.88 0.34 6.13 -4.73 4.46 3.96 2.8 16 -16.2 -18.4 9.9 9.8 10.0 2.9 
Prof Ro c26 207 39.00 37.31 129 255 43.3 6.5 1.67 0.20 4.70 -4.24 4.40 4.91 2.9 44 -15.4 -19.3 10.4 11.8 9.8 2.4 
Prof Ro c27 177 27.98 26.13 136 230 32.2 7.7 1.80 0.39 4.09 -2.93 3.45 4.02 2.6 22 -16.8 -23.0 12.2 13.8 8.5 2.4 
Prof Ro c28 183 44.02 26.61 125 316 53.9 6.5 1.10 0.50 5.01 -5.66 3.65 6.00 2.5 17 -17.3 -22.2 11.5 15.0 10.4 2.6 
Prof Ro c29 182 33.95 24.24 136 279 32.7 10.2 1.63 0.20 6.55 -6.18 3.94 4.44 2.6 17 -16.8 -21.1 10.4 12.3 9.7 2.7 
Prof Ro c30 196 34.23 25.81 141 298 40.6 13.8 1.59 0.13 7.50 -8.64 4.61 7.06 2.0 17 -15.1 -20.6 11.4 13.6 8.7 2.4 
