subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
ML v9 147 21.85 9.11 125 199 32.0 4.8 1.43 0.18 2.80 -1.65 2.27 1.43 6.7 21 -6.3 -12.5 6.7 13.7 15.4 2.0 
ML v10 128 3.09 1.84 124 136 3.0 21.6 1.98 0.31 0.87 -0.37 0.80 0.34 7.0 19 -8.0 -13.3 6.2 20.9 12.3 1.1 
ML v11 136 3.33 1.86 130 145 4.5 21.8 1.56 0.57 1.13 -0.43 0.82 0.44 7.6 17 -7.4 -10.8 6.5 20.6 16.6 1.1 
ML v12 154 18.47 9.56 124 187 26.2 11.0 1.72 0.33 2.06 -1.26 1.92 1.67 5.0 22 -12.0 -20.8 7.3 12.3 15.5 1.6 
ML v13 159 25.87 26.76 128 198 32.8 5.9 1.60 0.28 1.16 -1.50 0.65 1.88 4.7 23 -10.7 -18.8 7.5 7.6 15.3 2.1 
ML v14 135 9.72 7.82 123 152 9.4 9.1 1.26 NA 0.41 -1.11 0.46 0.90 6.2 19 -11.3 -9.8 7.5 11.9 14.8 2.0 
ME v1 84 6.79 5.88 79 100 9.1 18.5 1.46 0.93 0.80 -0.24 0.90 0.45 0.9 28 -24.7 -19.9 7.2 14.7 16.8 2.0 
ME v2 90 3.78 1.68 83 97 3.3 28.7 1.31 0.31 0.89 -0.45 0.59 0.68 1.3 27 -20.4 -14.9 6.2 11.5 17.2 2.1 
ME v3 98 8.38 5.89 90 126 15.0 6.8 2.07 0.13 2.79 -0.96 2.00 1.10 0.3 24 -27.0 -22.1 7.9 9.2 19.1 3.0 
ME v4 89 4.13 3.53 82 94 4.7 5.5 2.59 0.04 0.38 -0.22 0.35 0.43 0.7 29 -20.4 -17.5 5.3 6.2 21.6 3.6 
ME v5 93 5.90 1.79 83 108 10.3 5.0 2.09 0.17 0.59 -0.46 0.42 0.70 0.5 30 -22.2 -36.0 10.0 17.0 14.4 2.5 
ME v6 92 7.21 4.11 84 127 19.0 11.2 1.27 NA 3.25 -0.61 2.78 0.69 0.3 28 -25.3 -26.9 8.1 16.7 16.6 1.8 
ME v7 96 4.40 2.79 91 109 6.8 20.9 1.85 0.13 1.33 -0.35 1.34 0.53 0.2 30 -24.7 -29.8 8.7 12.0 12.2 2.7 
ME v8 87 12.56 5.86 82 135 19.0 29.5 2.53 NA 1.73 -0.50 2.86 1.11 2.5 29 -18.3 -11.7 1.2 14.5 24.1 4.2 
ME v9 98 13.50 5.06 94 135 19.2 8.2 1.41 0.47 2.28 -1.58 2.03 0.75 0.7 27 -23.3 -17.8 6.6 13.4 14.9 3.3 
ME v10 146 30.29 32.03 85 167 52.0 6.1 0.99 NA 2.67 -1.44 1.10 2.62 0.7 29 -18.4 -18.9 5.9 14.2 14.0 3.3 
ME v11 111 17.39 12.15 96 164 28.1 28.2 1.38 0.18 2.06 -1.99 2.73 3.69 0.7 29 -19.7 -22.1 6.6 8.5 19.0 5.3 
ME v12 92 4.13 2.18 86 103 7.5 8.4 1.90 NA 1.09 -0.25 0.70 0.43 1.4 30 -21.8 -17.4 4.4 12.4 16.9 3.8 
ME v13 91 3.20 1.68 87 99 3.3 27.3 2.22 0.28 0.96 -0.61 1.16 0.81 1.0 23 -16.9 -16.9 2.6 10.6 17.6 3.7 
ME v14 88 11.13 3.84 81 128 18.0 7.1 1.19 0.03 0.69 -1.79 0.92 1.16 1.2 21 -20.5 -14.1 4.8 8.4 20.8 4.5 
SC v1 160 11.26 7.93 131 179 8.7 10.8 2.94 0.06 2.80 -1.87 1.93 2.47 2.1 22 -15.8 -27.8 9.4 12.2 10.9 1.9 
SC v2 155 22.59 14.54 114 209 21.5 7.2 1.57 0.36 4.35 -4.14 2.83 3.48 2.3 21 -13.9 -17.0 9.7 16.9 9.0 2.1 
SC v3 183 26.52 24.74 139 240 24.9 7.0 2.44 0.07 2.81 -4.23 2.41 3.91 2.7 19 -12.4 -19.8 8.0 18.1 10.8 2.4 
SC v4 131 16.02 11.48 107 168 15.5 12.4 2.11 0.06 2.65 -1.74 2.10 2.85 1.1 21 -14.8 -20.4 8.5 17.8 10.0 2.2 
