Amiens	Angers	Arsac_en_Velay	Arvillard	Aubigny	Banvillars	Belis	Caraman	Gap	Haraucourt	Labaroche	Lignieres	Mongaillard	Montsauche-les-Settons	Naves	Neufchatel-en-Saosnois	Nice	Pancheraccia	Paris	Plerneuf	Reville	Sanary-sur-Mer
22.08222	21.878	20.98	30.49	20.9	30.6	21.95	16.4	13.6	19.6	20.7	31.5	12.9	21.5	32.1	27.3	19.8	28	17.5	17.4	29.7	17.8
1.926	1.721	1.594	1.535	1.947	1.323	1.373	1.723	1.551111	1.288	1.69	1.346	2.237	2.052	1.87	1.597	2.007	1.647	1.805	1.834444	1.707	1.812
11.89	11.18	6.82	10.45	9.93	13.15	20.58	11.72	12.92	7.75	18.02	8.84	8.02	14.35	14.34	11.31	9.66	12.16	11.46	14.77	26.2	13.23
29.77	23.58	24	26.85	20.72	35.06	26.18	16.77	21.64444	15.18	29.54	38.06	9.62	19.85	40.48	30.98	14.73	30.45	20.96	22.71111	49.65	18.95
0.2444444	0.195	0.269	0.304	0.176	0.371	0.3277778	0.1911111	0.34	0.2566667	0.229	0.3314286	0.235	0.2277778	0.34	0.342	0.2244444	0.3088889	0.172	0.2133333	0.2422222	0.2433333
4.688	4.524	3.326	6.834	4.071	6.044	4.743	4.544	2.556	3.390	5.034	5.387	2.286	5.297	8.166	5.528	4.656	4.312	2.963	4.068	8.389	3.839
4.065	3.415	2.792	5.040	2.923	4.642	3.646	3.542	2.380	2.591	3.780	4.267	1.727	3.561	5.132	4.363	3.623	3.154	2.604	3.396	7.008	2.756
-2.610	-2.872	-2.331	-4.653	-2.962	-3.609	-2.771	-2.743	-1.682	-2.114	-3.028	-2.934	-1.963	-3.453	-4.686	-3.044	-2.619	-3.548	-2.171	-2.077	-5.080	-2.727
2.979	3.034	2.360	4.489	3.121	4.087	3.195	2.491	2.339	2.348	3.173	3.557	1.809	3.513	4.783	3.290	2.479	3.490	2.388	2.427	3.870	2.759
