audiofile chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
Neufchatel-en-Saosnois t4 113 16.79 10.58 85 190 37.8 2.0 1.77 0.40 5.56 -0.99 4.89 1.41 1.3 26 -20.1 -25.5 17.3 17.4 9.9 2.6 
Neufchatel-en-Saosnois t5 165 32.25 22.96 89 212 24.3 12.5 1.59 0.61 6.95 -3.26 5.54 2.74 1.9 22 -18.7 -29.3 7.2 11.7 13.0 3.7 
Neufchatel-en-Saosnois t6 163 30.41 12.52 78 204 40.1 5.7 2.04 0.22 3.50 -2.31 2.63 2.54 1.2 24 -17.5 -28.5 7.6 14.3 13.0 3.7 
Neufchatel-en-Saosnois t7 117 11.25 9.15 88 129 10.5 12.4 1.72 0.48 2.28 -1.04 1.94 1.22 1.2 25 -18.6 -37.5 10.8 22.7 10.2 2.7 
Neufchatel-en-Saosnois t8 165 24.66 20.20 107 217 15.2 21.2 1.46 0.38 7.09 -5.19 4.88 5.94 2.1 23 -17.9 -28.2 7.0 16.7 14.0 3.3 
Neufchatel-en-Saosnois t9 137 35.84 22.10 83 228 45.6 17.0 1.37 0.19 8.81 -3.33 6.02 5.32 1.5 25 -18.0 -25.4 6.9 15.3 15.2 3.5 
Neufchatel-en-Saosnois t10 135 24.10 18.08 86 178 29.3 10.9 1.29 0.36 3.65 -3.22 3.16 2.81 2.1 21 -18.8 -35.9 11.1 18.5 10.3 2.4 
Nice t1 181 16.24 9.05 120 198 8.7 7.1 1.57 0.15 5.75 -2.19 5.48 1.85 3.5 14 -20.1 -35.9 9.6 14.2 11.9 3.0 
Nice t2 150 21.67 15.19 97 190 19.3 3.2 1.69 0.47 2.92 -2.08 2.78 2.45 2.7 15 -19.1 -30.6 8.8 17.2 13.1 2.7 
Nice t3 174 31.37 27.58 122 221 32.9 5.6 2.20 0.09 4.44 -3.82 4.44 2.25 3.2 8 -19.0 -40.6 8.2 18.6 14.0 3.0 
Nice t4 153 11.88 10.44 134 171 9.6 16.9 2.91 NA 5.29 -1.12 2.82 1.88 3.4 16 -17.8 -34.1 6.1 19.3 15.5 4.1 
Nice t5 157 17.21 14.18 116 183 10.0 10.7 1.62 0.27 5.48 -2.54 3.59 3.07 2.6 15 -19.1 -33.8 8.3 15.7 13.8 2.9 
Nice t6 161 14.34 10.66 131 183 6.5 13.7 1.71 0.22 5.11 -2.36 3.29 2.66 2.9 16 -19.7 -41.6 9.4 19.6 12.8 2.7 
Nice t7 170 21.39 11.91 101 190 6.4 4.9 1.83 0.40 3.44 -1.67 2.91 2.22 3.1 16 -16.9 -34.9 8.3 17.1 12.1 2.7 
Nice t8 159 14.55 7.31 116 172 3.0 19.4 2.52 0.13 5.19 -3.24 3.57 3.74 2.3 13 -20.3 -32.9 8.1 17.0 12.3 2.6 
Nice t9 158 17.76 8.08 97 194 14.9 10.2 2.01 0.20 4.43 -2.28 3.27 2.04 2.1 16 -20.1 -35.0 7.6 19.2 14.6 3.0 
Nice t10 148 31.74 11.76 96 239 36.0 4.9 2.01 0.09 4.51 -4.89 4.08 2.63 2.8 12 -22.6 -34.4 8.4 14.2 13.7 3.0 
Pancheraccia t1 163 35.56 19.14 81 235 28.9 6.4 1.50 0.33 6.57 -4.62 3.85 4.20 3.4 16 -18.8 -35.2 7.2 16.1 18.0 2.8 
Pancheraccia t2 133 21.05 10.71 68 179 20.6 9.9 1.70 0.34 4.20 -2.78 3.56 2.60 5.4 16 -16.6 -40.2 7.0 18.3 16.8 2.5 
Pancheraccia t3 127 26.80 17.54 93 219 35.4 18.9 1.08 0.19 5.10 -3.77 3.36 3.93 5.3 14 -18.7 -39.3 6.6 18.3 17.9 2.7 
Pancheraccia t4 139 25.18 19.52 79 176 25.0 8.2 3.14 NA 1.97 -2.20 1.10 2.87 6.9 22 -16.6 -40.7 6.4 19.0 17.9 2.2 
Pancheraccia t5 141 20.98 7.11 102 193 23.1 13.5 1.76 0.71 2.96 -4.53 2.10 4.92 6.3 14 -19.0 -38.3 4.8 16.3 17.2 3.5 
Pancheraccia t6 168 29.00 20.95 136 244 39.4 4.3 1.36 0.11 4.24 -3.39 3.84 1.97 5.4 13 -16.3 -38.3 7.4 18.9 16.2 2.3 
Pancheraccia t7 149 27.84 22.35 124 212 27.9 15.0 1.54 0.25 2.54 -2.62 2.08 3.68 6.7 20 -15.4 -41.2 8.1 19.0 14.6 2.0 
Pancheraccia t8 137 21.79 7.41 86 175 30.3 14.8 1.89 0.13 3.80 -1.93 2.42 1.12 2.8 15 -17.3 -34.8 6.2 16.2 18.2 2.6 
Pancheraccia t9 125 40.14 28.65 64 212 43.1 10.4 1.31 0.37 6.43 -4.41 4.92 4.56 7.6 19 -17.2 -39.3 4.5 18.5 18.8 3.0 
Pancheraccia t10 111 31.50 29.06 83 190 30.8 20.2 1.19 0.35 5.31 -5.23 4.31 5.05 3.6 16 -15.3 -39.2 5.8 19.4 16.4 2.8 
Paris t1 127 15.39 9.23 90 160 15.5 9.1 1.84 0.09 3.07 -2.43 2.81 2.56 1.9 17 -15.9 -23.6 5.2 16.2 14.0 3.1 
Paris t2 102 13.68 6.31 86 140 15.7 11.7 1.67 0.36 2.51 -2.73 2.31 2.31 1.0 14 -18.0 -23.9 8.8 13.9 16.1 3.7 
Paris t3 130 23.61 18.31 86 182 22.5 6.1 1.37 0.25 5.08 -3.82 4.10 3.28 1.7 12 -17.3 -26.7 8.7 18.6 12.5 2.6 
Paris t4 144 11.38 5.23 128 177 20.5 15.3 2.93 0.07 2.67 -1.81 2.40 3.33 2.8 18 -16.5 -32.6 6.6 18.9 14.3 3.5 
Paris t5 111 58.82 12.10 88 284 73.0 7.8 1.57 0.20 5.82 -3.01 7.33 3.11 2.9 12 -17.0 -17.9 8.5 11.0 12.9 3.9 
Paris t6 112 18.47 15.28 90 153 21.7 11.1 1.40 0.21 3.87 -3.08 2.70 2.82 1.3 13 -20.1 -27.5 10.8 15.2 11.9 3.0 
Paris t7 104 9.90 8.50 83 117 9.7 21.2 2.34 0.08 3.71 -1.45 2.15 1.93 1.6 17 -18.9 -28.4 7.2 15.4 13.5 3.2 
Paris t8 105 6.45 2.62 87 119 8.1 12.9 2.16 0.11 1.20 -1.19 0.84 1.58 3.8 14 -14.3 -23.1 5.8 17.8 11.2 2.2 
Paris t9 91 11.63 5.37 79 131 15.8 8.1 1.84 0.10 1.06 -1.45 0.95 1.98 0.9 16 -16.1 -28.0 11.5 17.6 13.2 3.4 
Paris t10 86 5.57 3.27 79 100 7.1 11.3 0.93 0.25 0.64 -0.74 0.45 0.98 1.7 10 -18.0 -23.0 7.6 11.9 14.1 3.1 
Plerneuf t1 133 19.55 11.80 88 174 18.7 9.2 1.46 0.11 3.68 -2.93 2.96 3.15 2.4 16 -21.9 -35.2 8.6 16.9 12.8 2.7 
Plerneuf t2 140 25.05 17.42 86 177 28.4 7.0 1.98 0.20 4.15 -3.55 3.01 3.38 1.7 17 -23.2 -34.2 9.7 15.4 11.7 2.8 
Plerneuf t3 100 14.65 5.17 88 162 24.5 5.6 1.47 0.29 3.45 -1.09 3.76 1.63 1.3 13 -20.8 -32.2 8.9 12.0 12.8 3.2 
Plerneuf t4 109 14.78 10.06 74 121 NA 24.5 NA NA 2.83 -0.88 1.57 1.76 3.3 19 -15.1 -26.4 4.3 20.8 17.7 5.3 
Plerneuf t5 132 17.05 4.87 119 214 34.7 3.9 2.16 0.14 5.50 -1.35 6.24 1.86 3.0 16 -21.7 -28.8 8.7 21.7 12.8 2.8 
Plerneuf t6 121 19.76 12.86 104 182 27.0 14.0 1.55 0.23 5.90 -2.35 4.17 2.11 2.1 17 -23.6 -35.2 9.3 15.7 12.9 2.7 
Plerneuf t7 143 18.23 16.68 106 168 7.9 34.5 1.86 0.45 4.25 -2.79 3.23 4.36 1.6 19 -25.5 -38.7 7.6 15.4 16.1 4.3 
Plerneuf t8 108 15.76 8.08 96 162 27.4 5.2 2.44 0.03 4.14 -0.89 4.16 1.17 1.7 19 -22.5 -21.5 7.0 13.6 11.9 3.5 
Plerneuf t9 123 17.72 10.42 86 157 23.3 13.0 2.13 0.15 4.55 -2.69 3.01 2.80 1.6 17 -24.6 -35.1 8.0 17.2 11.0 3.4 
Plerneuf t10 117 11.26 11.02 97 131 12.5 30.8 1.46 0.32 2.23 -2.25 1.85 2.05 1.7 17 -22.0 -35.5 7.3 15.1 14.8 3.5 
Reville t1 124 21.92 15.57 88 204 30.8 20.1 1.39 0.53 7.59 -4.66 4.91 3.42 0.4 10 -27.5 -43.6 7.6 17.0 15.7 4.2 
Reville t2 133 36.89 21.89 86 263 53.7 16.0 1.55 0.22 9.21 -6.94 7.11 6.02 0.2 9 -26.0 -39.2 7.4 14.6 16.2 5.5 
Reville t3 108 38.25 21.30 80 251 60.4 18.4 1.56 0.23 9.53 -7.49 7.81 6.61 0.3 10 -27.2 -39.4 8.2 16.0 17.9 4.6 
Reville t4 100 19.88 5.97 94 199 62.8 108.3 3.33 NA 12.18 -4.43 10.67 1.57 0.2 10 -32.0 -49.5 10.5 16.7 17.3 2.8 
Reville t5 123 33.25 19.89 86 222 43.9 19.6 1.39 0.40 9.23 -4.91 6.27 3.83 0.3 12 -29.4 -44.6 8.2 15.8 19.2 4.2 
Reville t6 135 26.07 14.30 99 221 39.7 20.2 2.07 0.23 7.45 -4.82 7.38 4.37 0.3 12 -30.6 -41.8 8.2 15.7 18.7 4.1 
Reville t7 106 29.68 17.10 88 215 51.8 17.8 1.32 0.25 7.13 -4.07 6.31 3.43 0.3 10 -29.7 -38.7 7.9 14.8 16.3 4.5 
Reville t8 114 31.61 16.99 88 247 65.2 1.7 1.23 0.06 6.74 -2.92 6.21 2.31 0.4 12 -30.5 -40.8 8.3 15.4 15.2 4.3 
Reville t9 123 27.31 21.27 90 195 42.6 25.8 1.36 0.17 7.15 -4.09 5.75 3.46 0.3 12 -33.4 -43.4 8.6 14.4 14.3 4.7 
Reville t10 135 32.10 24.19 83 213 45.6 14.1 1.87 0.09 7.68 -6.47 7.66 3.68 0.4 11 -31.5 -39.8 6.8 14.7 18.0 6.0 
Sanary-sur-Mer t1 119 17.12 11.10 81 156 12.1 16.6 1.51 0.26 4.31 -3.47 2.92 3.34 2.3 21 -15.6 -23.6 8.0 16.3 12.2 2.1 
Sanary-sur-Mer t2 111 20.30 13.69 76 171 15.5 7.6 1.60 0.28 3.76 -2.88 1.59 2.77 1.5 21 -16.6 -26.1 8.1 17.6 14.1 2.2 
Sanary-sur-Mer t3 101 16.19 13.53 78 136 12.9 16.9 1.40 0.48 3.31 -2.50 2.40 2.10 2.9 15 -13.6 -31.2 6.7 18.0 13.5 2.7 
Sanary-sur-Mer t4 125 17.48 13.64 89 152 21.4 11.9 1.80 0.04 5.21 -2.67 3.94 3.26 2.8 26 -14.4 -25.1 6.1 16.8 12.6 2.6 
Sanary-sur-Mer t5 94 26.24 24.82 83 160 40.1 4.5 2.81 NA 4.36 -2.29 3.39 3.11 1.7 23 -16.6 -26.9 7.8 16.5 12.6 2.9 
Sanary-sur-Mer t6 113 14.68 11.71 84 145 16.8 11.6 1.79 0.16 3.10 -3.34 2.57 3.16 2.9 23 -16.3 -29.9 6.7 17.0 11.5 2.1 
Sanary-sur-Mer t7 110 18.66 11.46 76 146 21.5 8.5 2.16 0.15 4.43 -2.39 3.18 2.43 2.6 24 -13.6 -27.2 8.4 17.1 10.3 2.3 
Sanary-sur-Mer t8 102 7.94 7.42 90 118 6.6 31.4 1.76 0.26 2.52 -1.18 1.90 1.36 1.5 24 -18.3 -23.8 6.3 16.6 14.4 3.2 
Sanary-sur-Mer t9 104 20.59 11.72 77 165 21.5 9.7 1.59 0.27 3.56 -3.36 3.06 3.71 1.0 22 -17.0 -24.9 6.3 14.9 15.9 3.2 
Sanary-sur-Mer t10 109 18.43 14.39 74 148 21.1 13.6 1.70 0.29 3.83 -3.19 2.61 2.35 1.1 16 -16.6 -24.4 6.5 15.6 13.3 3.3 
