audiofile chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
Arvillard t5 165 36.59 30.44 128 259 43.3 13.6 1.63 0.26 8.72 -5.66 6.37 4.53 3.0 19 -21.8 -32.6 8.8 16.6 13.6 2.9 
Arvillard t6 204 31.56 17.07 130 274 28.1 7.5 1.38 0.24 6.48 -5.03 4.62 5.41 3.7 22 -24.5 -36.2 12.7 15.9 11.0 1.9 
Arvillard t7 187 29.51 23.46 105 227 10.8 11.7 1.40 0.45 6.72 -4.55 5.21 4.65 2.9 23 -23.7 -31.3 11.4 18.1 12.2 2.1 
Arvillard t8 159 29.05 19.73 126 241 36.6 8.6 1.89 0.42 7.00 -3.41 6.29 3.74 3.3 16 -18.6 -32.7 6.7 17.7 15.4 3.1 
Arvillard t9 214 23.28 19.07 169 255 18.2 13.3 1.54 0.21 5.91 -4.26 3.99 3.47 4.1 19 -22.3 -42.0 12.7 17.4 10.7 2.0 
Arvillard t10 177 26.34 21.39 115 218 28.7 15.8 1.21 0.49 5.51 -4.77 3.70 3.66 2.8 20 -24.4 -35.2 11.4 16.5 12.9 2.3 
Aubigny t1 168 27.23 15.69 108 235 27.6 7.1 1.83 0.34 4.16 -3.66 4.48 4.25 3.2 25 -11.3 -20.1 4.9 15.6 15.5 3.5 
Aubigny t2 147 14.59 8.27 129 200 22.2 7.7 1.77 0.12 4.49 -2.00 3.62 2.33 3.0 22 -13.0 -26.7 5.4 13.5 15.4 2.8 
Aubigny t3 159 19.18 13.13 132 207 17.7 12.4 1.91 0.18 6.27 -4.73 4.34 4.23 2.3 14 -17.7 -25.6 6.5 12.8 16.0 3.2 
Aubigny t4 195 11.25 7.59 176 216 10.5 10.2 3.64 0.18 2.94 -1.12 2.56 1.86 4.3 28 -15.8 -28.0 7.9 14.0 15.0 2.5 
Aubigny t5 140 15.95 12.69 120 182 18.5 24.6 2.15 0.10 4.70 -2.76 3.45 3.19 2.8 23 -13.1 -25.2 8.1 17.0 14.5 2.9 
Aubigny t6 196 24.78 12.37 123 215 28.9 9.5 1.50 0.10 3.61 -3.20 1.97 3.51 3.8 25 -11.9 -18.6 5.5 15.1 13.4 2.5 
Aubigny t7 138 11.55 6.47 112 182 8.4 5.8 2.80 0.15 1.52 -2.11 0.79 2.85 4.1 26 -11.5 -27.2 6.7 17.1 13.0 2.7 
Aubigny t8 130 38.26 11.09 88 227 46.6 4.2 1.27 0.28 4.53 -3.04 3.32 2.44 2.7 20 -11.2 -16.3 5.9 13.2 13.7 2.5 
Aubigny t9 191 28.16 22.59 112 218 5.0 10.3 1.67 0.05 6.37 -4.30 3.40 4.23 3.2 21 -15.0 -25.8 8.8 12.2 11.3 2.1 
Aubigny t10 140 18.01 12.15 119 181 21.8 7.5 0.93 0.26 2.12 -2.70 1.30 2.32 2.1 18 -17.1 -21.8 8.6 13.1 15.2 2.6 
Banvillars t1 155 30.86 22.38 92 220 32.7 9.4 1.07 0.40 4.49 -4.53 3.36 4.77 1.8 23 -15.4 -33.7 7.2 21.5 12.7 2.8 
Banvillars t2 154 27.32 20.79 96 196 31.0 9.2 1.07 0.49 3.03 -3.49 2.86 3.78 3.0 24 -15.5 -30.7 8.6 22.2 9.4 2.3 
Banvillars t3 147 32.76 25.23 93 234 28.0 15.7 1.24 0.27 6.74 -4.85 5.61 4.60 3.0 24 -16.0 -33.1 6.1 20.8 13.3 2.9 
Banvillars t4 167 21.37 14.54 145 223 26.9 23.1 2.19 0.34 7.87 -1.52 4.82 2.64 2.5 25 -17.1 -33.4 7.3 22.1 12.4 2.8 
Banvillars t5 146 33.40 24.18 101 229 40.9 12.5 1.33 0.44 7.35 -4.68 6.51 5.24 1.9 22 -15.2 -30.4 5.5 21.7 13.7 3.3 
Banvillars t6 158 35.45 31.96 100 231 37.0 11.7 1.31 0.29 6.73 -3.38 4.64 3.93 2.0 23 -16.3 -30.0 6.7 22.3 12.7 2.7 
Banvillars t7 137 47.18 23.74 91 270 60.0 9.5 0.89 0.42 6.64 -3.86 6.24 3.84 1.8 25 -13.8 -33.3 7.7 17.3 11.5 2.7 
Banvillars t8 135 19.83 14.18 96 178 19.0 13.8 1.68 0.25 4.79 -3.33 2.90 5.02 3.9 25 -15.8 -31.8 6.6 23.5 13.2 2.7 
Banvillars t9 134 35.65 25.19 106 238 44.8 18.0 1.20 0.46 9.43 -3.58 6.15 3.82 2.0 24 -18.1 -36.1 7.6 21.4 13.6 2.6 
Banvillars t10 130 22.16 12.46 94 204 30.3 8.6 1.25 0.35 3.37 -2.87 3.33 3.23 2.0 23 -18.1 -37.9 8.7 21.5 11.7 2.5 
Belis t1 160 37.66 32.24 117 250 41.7 19.0 1.03 0.38 9.64 -3.47 6.84 3.85 4.5 23 -13.8 -34.3 6.0 23.5 15.3 3.0 
Belis t2 162 29.24 18.42 103 225 22.9 24.9 1.00 NA 5.04 -3.78 5.29 4.45 4.3 23 -13.7 -36.3 6.1 21.4 17.5 3.1 
Belis t3 143 27.90 18.31 109 236 37.4 10.0 1.10 0.37 4.64 -3.19 5.23 3.31 5.7 19 -13.7 -37.2 5.6 21.9 13.9 2.1 
Belis t4 145 20.77 14.36 112 202 37.5 39.1 2.13 0.28 3.99 -2.95 1.73 4.70 4.7 20 -12.2 -35.2 4.0 22.8 18.0 2.7 
Belis t5 128 23.41 18.19 109 189 27.3 20.9 1.36 0.47 6.28 -2.80 4.53 2.86 3.8 17 -14.2 -33.0 3.7 18.8 17.4 3.8 
Belis t6 161 21.73 17.58 102 191 25.2 9.0 1.31 0.35 5.14 -2.78 3.37 2.69 5.3 20 -13.9 -35.4 7.2 23.3 15.3 2.0 
Belis t7 137 16.33 10.21 110 185 17.9 26.2 1.67 0.17 4.13 -2.53 3.06 3.27 5.8 21 -12.8 -33.4 5.1 22.2 15.3 2.6 
Belis t8 126 14.21 10.92 103 154 15.4 19.7 1.45 0.35 3.45 -1.63 2.24 2.24 4.6 20 -14.8 -32.5 5.3 21.6 16.6 2.4 
Belis t9 124 14.22 6.80 94 173 18.2 10.8 1.47 0.27 2.22 -2.16 1.74 2.37 6.1 21 -14.5 -33.9 5.4 21.8 14.9 2.3 
Belis t10 121 14.06 8.79 105 162 18.3 26.2 1.21 0.31 2.90 -2.42 2.43 2.21 4.9 17 -14.1 -34.3 5.5 21.9 15.0 2.3 
Caraman t1 147 16.51 9.16 98 194 21.4 9.7 1.82 0.19 4.66 -2.56 2.98 2.38 2.2 19 -24.8 -36.3 7.9 14.7 14.0 2.9 
Caraman t2 153 12.22 9.60 123 175 13.5 12.5 1.60 0.17 4.11 -1.42 4.19 1.60 1.8 24 -26.8 -35.5 8.1 15.6 14.1 2.9 
Caraman t3 157 19.10 15.14 126 197 22.1 24.0 1.39 0.36 5.46 -3.62 3.45 2.48 3.0 19 -26.3 -38.3 8.9 16.2 12.6 2.5 
Caraman t4 160 15.23 9.33 121 171 1.5 5.3 2.76 NA 3.08 -1.86 1.28 2.34 3.2 24 -26.1 -35.3 9.1 15.1 14.0 2.6 
Caraman t5 168 10.80 6.69 145 186 6.9 18.9 1.94 0.11 3.73 -3.10 3.05 2.23 2.8 17 -25.9 -34.0 8.2 13.3 14.1 3.4 
Caraman t6 168 18.15 11.58 133 227 20.8 15.3 1.24 0.20 6.02 -3.25 3.69 2.73 2.8 18 -25.1 -36.0 9.5 15.5 12.5 2.7 
Caraman t7 171 15.45 9.89 124 197 9.1 8.3 1.80 0.08 3.89 -2.54 2.89 2.93 2.7 23 -27.3 -38.3 8.5 14.0 12.7 2.9 
Caraman t8 162 21.36 9.85 128 240 43.7 3.8 1.82 0.21 7.01 -2.92 8.50 2.60 2.0 10 -25.8 -36.1 8.2 13.0 13.9 2.7 
Caraman t9 159 16.07 11.25 115 182 7.1 11.5 1.47 0.30 3.62 -2.74 2.98 2.98 2.0 23 -26.8 -35.6 7.2 14.5 15.4 3.0 
Caraman t10 156 19.29 10.51 118 213 21.6 7.9 1.39 0.10 3.86 -3.42 2.41 2.64 2.8 14 -26.4 -35.5 9.4 14.1 12.5 2.9 
Gap t1 134 18.36 10.54 102 188 20.6 10.8 1.35 0.19 2.53 -2.16 1.49 2.36 0.3 19 -29.7 -32.5 10.8 9.6 12.6 2.7 
Gap t2 134 13.87 6.88 98 170 17.4 13.3 1.15 0.39 2.02 -1.32 0.98 2.22 0.3 21 -31.7 -36.8 11.0 10.6 14.4 2.3 
Gap t3 143 18.65 7.35 119 221 38.0 16.5 1.34 0.49 4.26 -2.56 4.12 4.49 0.4 17 -29.4 -42.5 10.8 13.0 14.3 2.6 
Gap t4 137 8.73 5.98 115 150 2.8 9.1 2.62 NA 1.78 -0.68 1.36 1.07 0.6 21 -30.5 -32.9 10.3 13.2 16.5 2.6 
Gap t5 142 15.26 3.68 114 219 36.4 18.6 1.80 0.21 4.12 -2.89 5.45 3.83 0.5 17 -28.8 -34.2 10.1 10.4 13.2 2.7 
Gap t6 136 13.51 7.63 119 195 23.4 17.7 1.57 0.35 2.49 -1.83 2.44 2.98 0.3 18 -29.5 -39.7 12.2 13.4 12.8 2.2 
Gap t7 139 22.70 8.90 102 219 42.6 9.6 1.30 0.47 3.96 -1.86 4.42 3.27 0.3 21 -32.8 -42.0 11.4 12.7 13.9 2.9 
Gap t8 142 4.15 4.01 137 150 NA 11.9 NA NA 1.58 -0.49 0.84 0.56 0.5 21 -34.7 -35.0 14.5 9.9 13.5 2.2 
Gap t9 131 9.05 6.11 103 145 4.7 12.4 1.09 0.21 1.41 -1.30 1.13 1.30 0.2 19 -31.9 -34.4 11.0 11.3 15.8 2.9 
Gap t10 135 11.61 6.88 99 149 8.9 9.3 1.74 0.41 1.41 -1.73 1.57 1.31 0.2 14 -32.0 -35.9 12.3 10.1 13.3 2.5 
Haraucourt t1 141 22.87 13.48 87 190 23.1 8.3 0.96 0.38 4.68 -1.71 3.77 1.91 2.6 23 -9.1 -30.1 5.3 21.8 15.3 3.2 
Haraucourt t2 122 16.92 8.26 78 159 15.0 5.2 1.57 0.12 1.68 -1.52 1.84 2.00 2.1 23 -14.4 -34.0 7.8 25.5 12.9 2.5 
Haraucourt t3 125 17.52 10.95 95 171 18.5 8.4 1.28 0.31 2.87 -2.57 1.63 2.46 1.9 17 -13.2 -33.5 7.3 23.8 13.2 2.5 
Haraucourt t4 139 22.46 14.63 85 172 6.2 8.6 1.26 NA 4.84 -2.14 3.14 2.84 2.3 22 -15.7 -33.9 5.6 18.8 18.3 4.1 
Haraucourt t5 149 23.43 10.33 97 212 23.9 7.7 1.14 0.10 4.03 -2.24 4.59 3.00 2.0 22 -14.3 -34.2 6.9 22.9 16.3 3.1 
Haraucourt t6 141 21.96 15.02 104 190 19.2 8.3 1.06 0.38 3.80 -3.09 2.59 3.92 1.2 21 -14.9 -35.6 8.8 24.7 13.1 3.0 
Haraucourt t7 122 15.64 10.96 85 152 11.4 7.3 1.62 0.18 3.66 -2.04 2.09 1.82 2.5 22 -11.9 -35.0 5.6 24.0 14.7 2.5 
Haraucourt t8 140 22.61 17.12 84 162 5.4 7.9 1.16 0.36 3.62 -1.58 2.07 1.48 2.0 23 -12.1 -32.1 5.4 22.6 17.1 3.3 
Haraucourt t9 130 18.27 12.41 82 161 12.2 9.9 1.50 0.17 3.19 -2.44 2.57 2.37 1.6 21 -14.2 -37.7 7.8 25.6 15.2 2.4 
Haraucourt t10 122 17.38 7.79 82 164 16.9 5.9 1.33 0.31 1.53 -1.81 1.62 1.68 2.2 18 -12.0 -33.7 6.0 22.5 15.0 3.3 
Labaroche t1 124 21.42 11.91 80 190 24.0 19.7 1.30 0.32 5.11 -3.13 3.94 1.94 1.7 13 -15.6 -19.1 6.2 11.8 12.7 3.3 
Labaroche t2 116 17.45 8.01 79 171 18.9 10.9 1.80 0.25 4.36 -2.14 3.46 2.66 1.4 13 -18.4 -24.7 8.3 10.6 13.7 3.0 
Labaroche t3 121 21.18 11.47 102 209 35.9 11.7 1.81 0.22 4.58 -3.21 4.93 3.36 1.3 11 -19.6 -20.0 7.3 10.3 13.3 3.0 
Labaroche t4 120 26.31 12.73 71 166 24.7 11.7 2.35 0.09 4.07 -2.32 3.04 3.27 1.6 12 -15.9 -21.8 6.3 11.2 12.2 3.1 
Labaroche t5 126 14.90 11.82 106 163 18.2 33.3 1.66 0.16 4.50 -3.26 3.14 2.47 2.5 12 -16.2 -17.1 4.9 10.8 16.0 3.3 
Labaroche t6 135 27.74 15.78 107 238 52.6 15.0 1.55 0.25 6.80 -4.67 5.25 4.68 1.5 12 -18.1 -23.3 7.1 10.4 14.3 3.0 
Labaroche t7 128 23.82 9.22 85 214 36.3 16.4 1.72 0.31 6.65 -3.27 4.63 4.10 1.8 14 -16.9 -24.0 6.6 10.7 15.1 3.7 
Labaroche t8 132 14.90 11.05 102 162 16.3 27.0 1.69 0.16 4.08 -2.16 2.35 2.22 2.3 13 -14.7 -19.1 5.6 12.9 13.7 3.0 
Labaroche t9 131 21.60 11.71 83 226 45.3 14.6 1.57 0.15 5.82 -3.42 4.22 4.85 1.0 13 -18.6 -24.0 7.6 12.3 14.7 3.4 
Labaroche t10 115 17.45 11.91 83 146 23.2 19.9 1.45 0.38 4.37 -2.70 2.84 2.18 1.8 9 -16.0 -19.9 5.1 11.7 14.5 3.4 
Lignieres t1 189 44.35 36.78 103 245 26.0 10.1 1.31 0.18 6.16 -4.55 5.40 4.88 4.4 25 -20.9 -30.8 12.0 16.7 10.1 2.5 
Lignieres t2 141 28.03 18.18 73 199 41.0 8.7 1.64 0.46 4.09 -2.32 3.28 2.56 1.9 24 -25.8 -36.6 14.0 17.1 9.3 2.7 
Lignieres t3 176 27.72 21.82 105 230 32.9 6.6 1.28 0.65 6.53 -3.99 4.45 4.36 4.0 24 -15.9 -29.8 10.7 21.1 10.5 1.8 
Lignieres t4 165 42.28 32.38 74 194 82.8 11.2 1.20 NA 5.59 -2.33 3.45 4.93 2.6 23 -20.8 -26.4 9.7 15.8 14.9 4.4 
Lignieres t5 216 21.35 13.35 171 258 19.6 15.3 1.52 0.15 5.97 -1.99 5.61 2.51 6.0 27 -19.9 -27.2 10.0 14.7 10.9 2.4 
Lignieres t6 234 33.98 27.59 159 266 42.8 4.9 1.33 0.23 6.47 -3.00 5.75 4.74 6.2 27 -16.1 -29.8 10.5 15.8 11.9 2.1 
Lignieres t7 163 32.58 25.41 96 234 48.5 10.9 1.38 0.09 4.43 -1.26 2.57 2.89 1.9 25 -24.3 -38.3 14.3 19.8 8.0 2.1 
Lignieres t8 171 20.94 12.78 116 197 14.4 4.0 1.90 NA 4.80 -4.18 1.83 2.79 6.1 19 -15.1 -27.6 10.6 24.2 10.2 1.5 
Lignieres t9 166 24.02 17.25 119 221 30.5 4.7 1.30 0.56 5.35 -2.50 5.08 2.63 4.8 26 -19.1 -30.3 11.6 20.6 10.9 2.4 
Lignieres t10 138 39.39 26.98 98 237 42.1 12.0 0.60 NA 4.48 -3.22 5.25 3.28 2.5 24 -20.3 -34.4 9.3 19.5 13.4 2.8 
Montgaillard t1 163 17.01 8.66 116 183 10.5 5.3 1.62 0.37 2.76 -2.73 1.83 2.31 1.5 16 -25.0 -41.5 10.1 18.0 13.5 2.9 
Montgaillard t2 153 13.82 7.37 114 172 6.6 7.7 2.41 0.23 2.05 -1.47 1.53 1.54 1.7 17 -25.9 -40.2 10.4 15.8 12.5 3.2 
Montgaillard t3 158 9.90 7.16 139 177 6.9 11.0 2.33 0.18 2.66 -2.16 1.82 1.31 1.8 9 -25.8 -44.7 11.5 17.7 12.7 2.4 
Montgaillard t4 145 11.55 3.22 110 163 9.9 8.6 3.69 0.04 1.23 -1.56 0.48 2.50 1.8 16 -25.0 -38.7 7.7 15.9 15.0 3.7 
Montgaillard t5 148 15.30 9.15 121 175 17.7 5.7 2.17 0.28 2.04 -1.93 1.92 1.83 2.0 13 -26.3 -38.9 7.6 16.5 14.3 3.7 
Montgaillard t6 150 9.51 6.81 124 165 6.0 7.1 2.11 0.37 2.38 -1.27 2.09 1.02 1.8 13 -23.8 -41.5 11.3 17.3 10.3 2.3 
Montgaillard t7 146 17.55 7.49 107 184 23.4 5.5 2.22 0.05 2.27 -1.79 1.92 2.11 2.1 15 -26.3 -41.0 10.1 16.0 12.7 3.2 
Montgaillard t8 155 8.25 6.09 136 166 3.0 13.9 2.54 0.22 3.18 -2.19 2.16 2.02 1.1 14 -23.5 -39.7 10.9 15.9 13.0 2.6 
Montgaillard t9 154 15.42 9.04 114 180 5.2 9.8 1.38 0.39 2.76 -2.75 2.32 2.13 1.3 17 -25.6 -41.4 10.9 18.3 12.1 3.2 
Montgaillard t10 148 10.41 5.99 114 164 7.0 5.6 1.90 0.22 1.53 -1.78 1.20 1.32 1.8 10 -24.4 -39.9 10.8 17.7 12.9 3.1 
Montsauche-les-Settons t1 143 28.60 19.87 91 206 25.3 7.5 1.43 0.13 5.55 -3.99 4.11 4.01 1.5 19 -26.1 -30.9 10.4 13.3 10.6 2.7 
