ling suj estilo sex repet f0med f0sd f0sk df0mean df0sd df0sk emph f0r 
PE PF ST MA 2 85 1.52 0.07 0.02 1.78 -0.16 0.3 0.81 
PE SS ST MA 1 87 5.23 0.44 -0.18 6.30 -3.59 1.0 0.42 
PE SS ST MA 2 85 4.64 0.24 -0.01 3.45 -0.07 0.9 0.30 
PE SS ST MA 3 85 1.75 0.27 -0.05 1.53 -0.82 0.7 0.62 
PE SS ST MA 4 85 4.23 0.35 -0.03 8.65 0.95 1.0 0.73 
AL G5 RE FE 1 95 2.10 0.05 -0.08 7.36 -0.27 0.5 1.28 
AL G5 RE FE 2 96 1.76 -0.12 -0.30 6.55 0.33 0.2 1.08 
AL G5 RE FE 3 95 1.72 0.07 -0.18 6.92 0.08 0.5 1.04 
AL G5 RE FE 4 95 1.47 0.08 -0.25 4.86 0.03 0.3 1.28 
AL G6 RE FE 1 92 1.73 0.007 -0.10 3.39 0.28 1.7 1.13 
AL G6 RE FE 2 92 1.64 0.15 -0.22 3.26 -0.38 1.0 1.00 
AL G6 RE FE 3 91 1.92 0.42 -0.31 3.86 0.04 1.5 0.93 
AL G6 RE FE 4 91 1.89 0.28 -0.05 3.78 0.04 1.4 0.89 
AL G1 RE MA 1 85 5.07 0.44 -0.06 9.57 -0.76 0.5 0.46 
AL G1 RE MA 2 85 5.94 0.55 0.14 8.03 -0.74 0.2 0.58 
AL G1 RE MA 3 85 3.16 0.29 -0.31 7.12 1.15 0.2 0.41 
AL G1 RE MA 4 84 6.13 0.49 0.77 9.78 1.05 0.2 0.54 
AL G2 RE MA 1 85 1.76 0.23 -0.02 2.68 -0.61 5.0 0.69 
AL G2 RE MA 2 86 3.03 0.23 -0.01 6.21 2.34 4.5 0.81 
AL G2 RE MA 3 85 1.65 0.22 0.06 2.19 1.22 5.7 0.72 
AL G2 RE MA 4 85 2.30 0.29 -0.05 2.24 1.75 4.3 0.64 
AL G3 RE MA 1 85 6.12 0.50 -0.02 10.47 -0.05 0.3 0.61 
AL G3 RE MA 2 84 3.44 0.29 -0.03 4.42 -0.80 0.1 0.87 
AL G3 RE MA 3 85 3.30 0.36 -0.19 4.80 0.97 0.2 0.58 
AL G3 RE MA 4 85 5.79 0.48 -0.62 10.70 0.18 0.1 0.76 
AL G4 RE MA 1 86 4.37 0.53 0.02 10.78 0.82 0.2 0.75 
AL G4 RE MA 2 86 4.08 0.27 0.04 7.95 0.47 0.2 0.87 
AL G4 RE MA 3 86 4.12 0.50 -0.67 8.17 -1.45 0.3 0.63 
AL G4 RE MA 4 87 5.16 0.42 0.36 10.21 0.26 0.1 0.83 
AL G7 RE MA 1 85 3.19 0.38 -0.22 5.29 -0.84 1.4 0.62 
AL G7 RE MA 2 85 2.31 0.35 -0.003 3.02 0.67 0.6 0.72 
AL G7 RE MA 3 84 0.97 0.07 0.02 1.17 0.81 1.0 0.75 
AL G7 RE MA 4 84 2.72 0.31 -0.03 3.93 0.04 0.7 0.51 
AL G8 RE MA 1 85 1.54 0.19 -0.02 2.33 0.43 0.1 0.83 
AL G8 RE MA 2 85 2.58 0.29 -0.03 7.36 1.15 0.05 0.96 
AL G8 RE MA 3 85 2.29 0.28 -0.05 2.69 0.53 0.06 0.58 
AL G8 RE MA 4 84 1.62 0.22 0.02 4.27 -1.61 0.05 0.63 
AL G9 RE MA 1 85 1.48 0.27 -0.006 3.03 -0.38 1.2 0.78 
AL G9 RE MA 2 85 0.85 -0.15 -0.01 1.66 -0.88 0.6 0.90 
AL G9 RE MA 3 85 1.69 0.32 -0.05 2.65 0.20 0.8 0.84 
AL G9 RE MA 4 86 2.25 0.27 0.07 4.27 -0.11 0.7 1.20 
AL G5 ST FE 1 96 2.33 -0.05 -0.36 8.08 0.21 0.3 1.01 
AL G5 ST FE 2 95 1.85 0.13 -0.32 6.38 0.18 0.2 1.21 
AL G5 ST FE 3 94 1.94 0.35 -0.03 4.77 0.006 0.2 0.99 
AL G5 ST FE 4 95 2.02 0.05 0.32 5.18 0.90 0.3 1.02 
AL G6 ST FE 1 91 2.63 0.37 -0.36 4.28 0.31 0.6 0.87 
AL G6 ST FE 2 91 2.05 0.29 -0.07 4.53 0.05 1.0 0.74 
AL G6 ST FE 3 91 2.39 0.25 0.11 3.20 0.24 1.2 1.00 
AL G6 ST FE 4 92 1.53 0.24 -0.010 3.54 0.46 0.8 0.94 
AL G1 ST MA 1 87 2.72 0.32 0.03 3.54 -0.95 0.3 0.51 
AL G1 ST MA 2 86 4.83 0.26 0.51 7.91 0.91 0.3 0.49 
AL G1 ST MA 3 85 3.56 0.41 0.11 3.00 -7.25 0.3 0.33 
AL G1 ST MA 4 87 6.91 0.39 0.05 10.27 0.03 0.3 0.39 
AL G2 ST MA 1 88 3.98 0.18 0.12 8.60 -0.38 1.9 0.74 
AL G2 ST MA 2 87 3.03 0.30 -0.02 4.59 0.70 2.2 0.76 
AL G2 ST MA 3 88 2.36 0.27 0.05 3.15 -0.005 2.7 0.73 
AL G2 ST MA 4 88 2.52 0.13 -0.01 3.83 0.22 1.6 0.81 
AL G2 ST MA 5 88 3.30 0.16 -0.14 5.79 -0.25 2.0 0.74 
AL G3 ST MA 1 85 2.79 0.28 -0.04 3.86 0.12 0.1 0.55 
AL G3 ST MA 2 84 4.44 0.43 0.02 4.78 -0.29 0.2 0.23 
AL G3 ST MA 3 85 4.42 0.43 0.005 7.52 0.91 0.09 0.45 
AL G3 ST MA 4 87 5.77 0.22 0.29 6.99 -2.41 0.1 0.22 
AL G4 ST MA 1 86 4.37 0.39 0.12 9.05 0.06 0.2 0.93 
AL G4 ST MA 2 86 4.94 0.46 -0.34 11.03 0.27 0.2 1.17 
AL G4 ST MA 3 87 4.12 0.32 -0.08 10.04 0.21 0.2 0.67 
AL G7 ST MA 1 87 4.34 0.30 0.79 7.50 3.31 1.2 0.50 
AL G7 ST MA 2 85 2.09 0.37 -0.007 2.51 1.25 0.6 0.55 
AL G7 ST MA 3 85 2.94 0.32 0.06 4.18 1.08 0.6 0.82 
AL G7 ST MA 4 87 2.71 0.18 0.04 4.79 0.99 0.9 0.93 
AL G8 ST MA 1 85 2.06 0.37 -0.01 2.29 0.75 0.2 0.69 
AL G8 ST MA 2 84 1.02 0.10 0.04 2.56 -2.58 0.2 0.74 
AL G8 ST MA 3 84 0.72 0.04 0.007 0.67 -0.66 0.2 0.24 
AL G8 ST MA 4 84 5.01 0.41 -0.76 6.15 1.18 0.2 0.49 
AL G9 ST MA 1 85 2.33 0.44 -0.04 4.26 0.06 0.8 0.67 
AL G9 ST MA 2 85 1.33 0.21 -0.008 1.77 0.43 0.8 0.91 
AL G9 ST MA 3 84 2.43 0.35 -0.02 5.43 3.64 0.5 0.97 
AL G9 ST MA 4 85 2.28 0.17 0.23 3.05 0.05 0.7 0.91 



