ling suj estilo sex repet f0med f0sd f0sk df0mean df0sd df0sk emph f0r 
PB FA RE MA 04 83 2.22 -0.15 -0.04 2.12 -0.53 4.3 0.77 
PB FA RE MA 05 82 2.67 0.13 -0.17 2.39 0.03 5.4 0.73 
PB FA RE MA 06 84 2.24 0.07 -0.05 3.25 0.41 5.7 0.99 
PB FA RE MA 07 83 2.19 -0.07 -0.12 2.45 -0.88 5.9 0.92 
PB FA RE MA 08 84 3.46 0.01 -0.03 3.04 -0.40 5.4 0.82 
PB FA RE MA 09 83 3.03 0.22 -0.18 3.25 -1.24 5.0 0.75 
PB FA RE MA 10 83 2.30 -0.03 -0.13 3.55 -0.45 5.2 0.81 
PB FA ST MA 01 83 2.84 0.08 -0.09 2.82 0.25 6.0 0.59 
PB FA ST MA 02 84 2.17 -0.05 -0.04 2.55 -1.01 6.1 0.92 
PB FA ST MA 03 84 2.28 -0.02 0.04 2.20 -0.12 5.7 0.87 
PB FA ST MA 04 84 2.53 0.14 0.20 3.90 0.60 4.0 0.88 
PB FA ST MA 05 82 2.31 0.29 -0.15 1.87 0.66 5.8 0.82 
PB GR RE FE 01 94 1.67 -0.24 -0.16 4.07 -0.61 1.6 1.20 
PB GR RE FE 02 94 1.75 -0.08 -0.37 4.69 -0.37 1.8 1.20 
PB GR RE FE 03 95 1.48 -0.33 -0.16 3.98 -0.03 2.0 0.99 
PB GR RE FE 04 94 2.40 -0.13 -0.11 5.66 -0.45 1.7 1.02 
PB GR RE FE 05 94 2.74 -0.14 -0.12 5.06 -0.06 1.7 1.05 
PB GR RE FE 06 95 2.04 -0.19 -0.60 4.42 -0.57 1.8 0.95 
PB GR RE FE 07 94 2.58 -0.28 -0.27 5.49 -0.54 1.8 1.02 
PB GR RE FE 08 95 2.07 -0.19 -0.41 4.65 -0.77 1.7 0.98 
PB GR RE FE 09 93 2.46 -0.23 -0.32 5.05 0.14 1.6 0.87 
PB GR RE FE 10 94 1.97 -0.14 -0.25 4.22 -0.55 1.1 0.85 
PB GR ST FE 01 93 1.52 0.02 -0.02 3.18 0.31 1.8 1.01 
PB GR ST FE 02 94 1.37 -0.08 -0.40 2.97 -3.47 2.0 0.73 
PB GR ST FE 03 93 3.54 -0.31 -0.07 6.17 -0.76 1.6 0.65 
PB GR ST FE 04 94 2.60 -0.31 -0.37 4.67 -0.95 2.0 0.84 
PB GR ST FE 05 94 4.28 -0.35 -0.73 5.22 -0.54 1.9 0.75 
PB GR ST FE 06 94 3.40 -0.27 0.60 3.90 0.61 1.5 1.10 
PB LC RE MA 01 86 2.21 0.10 -0.19 3.24 0.03 5.4 0.83 
PB LC RE MA 02 87 2.33 -0.17 -0.30 3.30 -0.41 5.7 0.79 
PB LC RE MA 03 87 1.72 -0.20 -0.13 2.79 -0.20 4.5 0.83 
PB LC RE MA 04 86 2.07 -0.003 -0.14 3.13 0.07 5.1 0.89 
PB LC RE MA 05 87 1.95 0.0007 -0.08 2.92 -0.27 6.4 0.90 
PB LC RE MA 06 87 2.15 -0.08 -0.005 3.19 -0.03 5.6 0.85 
PB LC RE MA 07 87 1.96 -0.18 -0.07 3.32 -0.47 5.6 0.95 
PB LC RE MA 08 87 2.14 -0.18 -0.06 3.32 -0.53 5.1 0.85 
PB LC RE MA 09 87 2.01 -0.16 -0.11 3.16 -0.31 4.9 0.94 
PB LC RE MA 10 87 2.14 -0.13 -0.16 3.10 -0.31 5.2 0.85 
PB LC ST MA 01 84 2.30 0.27 0.34 2.97 1.65 5.8 0.88 
PB LC ST MA 02 84 1.77 0.09 -0.13 2.29 0.86 5.5 0.75 
PB LC ST MA 03 86 2.19 0.04 0.09 2.45 0.96 4.5 0.80 
PB LC ST MA 04 84 2.42 0.11 0.07 3.02 1.41 4.4 0.57 
PB LC ST MA 05 85 2.12 0.11 0.10 2.31 0.86 4.7 0.77 
PB LC ST MA 06 84 2.16 0.21 -0.09 2.83 2.07 3.5 0.82 
PB MT RE MA 01 87 1.46 -0.15 -0.13 2.07 -0.03 2.4 0.86 
PB MT RE MA 02 87 1.46 -0.15 -0.13 2.07 -0.03 2.4 0.86 
PB MT RE MA 03 87 1.53 0.01 -0.14 1.97 0.18 2.5 0.71 
PB MT RE MA 04 87 1.20 -0.22 -0.09 1.77 -0.47 2.0 0.90 
PB MT RE MA 05 87 1.32 -0.12 -0.13 1.64 -0.15 2.6 0.93 
PB MT RE MA 06 87 1.67 -0.14 -0.10 2.22 -0.67 2.0 0.85 
PB MT RE MA 07 87 1.81 -0.12 -0.11 2.36 -0.74 2.3 0.66 
PB MT RE MA 08 87 1.74 -0.13 -0.12 1.90 -0.74 1.7 0.81 
PB MT RE MA 09 87 1.47 -0.20 -0.17 1.78 -0.29 2.3 0.87 
PB MT RE MA 10 87 1.86 -0.16 -0.15 2.22 -0.64 2.8 0.93 
PB MT ST MA 01 86 1.40 0.22 0.27 2.03 2.03 3.2 0.69 
PB MT ST MA 02 86 1.39 0.25 -0.08 1.13 -0.33 3.4 0.86 
PB MT ST MA 03 85 1.44 0.10 -0.09 1.79 0.86 3.2 0.93 
PB MT ST MA 04 86 1.64 0.21 -0.02 1.82 0.42 2.6 0.95 
PB MT ST MA 05 86 1.18 0.11 -0.07 1.26 0.63 2.6 0.90 
PB MT ST MA 06 87 1.31 -0.02 -0.010 1.34 -0.31 3.0 0.79 
PB MT ST MA 07 87 1.22 0.25 0.24 2.14 2.09 2.5 1.07 
PB MT ST MA 08 86 1.08 -0.24 -0.17 1.29 -1.10 2.1 0.99 
PB NP RE FE 01 94 1.55 -0.17 -0.32 4.27 -1.27 2.1 1.17 
PB NP RE FE 02 95 1.43 -0.16 -0.26 4.18 -0.19 1.6 1.09 
PB NP RE FE 03 95 1.47 -0.05 -0.15 4.22 -1.36 1.4 1.15 
PB NP RE FE 04 94 1.16 0.02 -0.18 3.47 -0.32 1.9 0.99 
PB NP RE FE 05 94 2.00 -0.14 -0.10 5.50 -0.60 1.9 0.96 
PB NP RE FE 06 95 3.00 -0.41 -0.37 4.80 -1.18 1.6 0.90 
PB NP RE FE 07 95 2.09 -0.23 0.09 4.29 -0.25 1.3 0.85 
PB NP RE FE 08 95 2.26 -0.36 -0.18 4.10 -0.66 2.1 0.95 
PB NP RE FE 09 94 2.06 -0.13 -0.22 4.87 -0.20 1.7 1.06 
PB NP RE FE 10 94 1.40 -0.10 -0.09 4.18 -0.41 2.0 0.89 
PB NP ST FE 01 93 1.32 0.02 -0.04 2.83 0.44 1.0 0.67 
PB NP ST FE 02 94 1.53 -0.004 -0.07 3.80 -0.54 1.3 0.85 
PB NP ST FE 03 94 1.46 0.02 -0.07 2.95 -0.36 1.7 0.78 
PB NP ST FE 04 93 1.48 0.11 -0.22 2.93 0.36 1.3 1.05 
PB NP ST FE 05 94 2.20 -0.20 -0.13 3.25 1.25 1.5 0.70 
PB NP ST FE 06 94 1.60 -0.11 -0.11 3.36 -0.52 1.6 0.66 
PB RA RE FE 01 92 1.72 0.08 0.05 3.95 -0.82 1.7 0.96 
PB RA RE FE 02 92 1.55 -0.16 -0.24 3.97 0.10 2.0 1.08 
PB RA RE FE 03 92 1.57 -0.08 0.18 3.21 -0.46 1.4 1.04 
PB RA RE FE 04 92 2.55 -0.04 -0.50 3.75 -0.41 1.4 0.98 
PB RA RE FE 05 92 2.36 -0.12 -0.19 4.22 -1.21 2.2 0.93 
PB RA RE FE 06 93 1.72 -0.13 -0.16 3.47 0.09 2.3 1.03 
PB RA RE FE 07 92 1.60 0.10 -0.17 3.49 -1.03 1.6 1.04 
PB RA RE FE 08 93 2.11 -0.21 -0.28 4.11 -1.47 2.0 0.98 
PB RA RE FE 09 92 2.22 -0.06 -0.19 3.71 -0.85 1.6 1.01 
PB RA RE FE 10 94 1.68 -0.22 -0.15 3.85 -0.77 1.6 0.93 
PB RA ST FE 01 92 1.25 0.008 -0.01 2.57 0.08 2.1 0.97 
PB RA ST FE 02 94 3.52 -0.23 0.35 4.44 0.50 2.0 1.04 
FR CA RE FE 1 93 1.14 -0.15 -0.08 2.56 -0.51 0.06 1.12 
FR CA RE FE 2 93 0.98 -0.21 -0.14 1.87 -0.43 0.09 1.09 
FR CA RE FE 3 93 1.10 -0.12 -0.03 2.36 -0.63 0.2 0.95 
FR CA RE FE 4 93 1.38 0.06 -0.04 2.64 -0.08 0.05 0.83 
FR LA RE FE 1 91 1.45 -0.05 -0.25 3.43 -0.27 0.09 1.20 
FR LA RE FE 2 92 1.62 -0.12 -0.24 3.70 -0.05 0.1 1.17 
FR LA RE FE 3 91 1.75 -0.06 -0.10 3.61 -0.22 0.1 0.90 
FR LA RE FE 4 91 1.32 -0.07 -0.18 2.91 0.28 0.08 1.20 
FR LA RE FE 5 91 1.68 0.07 0.47 4.49 4.54 0.1 1.14 
FR MA RE FE 1 91 1.44 -0.04 -0.16 3.03 0.44 0.1 0.95 
FR MA RE FE 2 91 1.32 -0.09 -0.19 2.79 -0.04 0.08 0.97 
FR MA RE FE 3 91 1.76 -0.01 0.02 3.34 -0.07 0.1 1.14 
FR MA RE FE 4 91 1.68 0.03 -0.20 2.93 -0.71 0.07 1.03 
FR PR RE FE 1 93 1.59 -0.12 0.04 3.91 0.82 0.4 1.02 
FR PR RE FE 2 94 1.35 -0.07 -0.04 3.57 -0.16 0.1 1.15 
FR PR RE FE 3 93 1.69 -0.03 -0.17 4.10 -0.21 0.4 0.91 
FR PR RE FE 4 94 1.90 0.11 -0.23 4.12 0.03 0.2 1.06 
FR SO RE FE 1 89 1.59 -0.14 -0.14 2.79 0.65 0.06 1.11 
FR SO RE FE 2 89 1.76 0.25 -0.06 3.63 0.41 0.04 1.10 
FR SO RE FE 3 90 2.33 0.04 -0.15 3.90 0.02 0.09 0.93 
FR SO RE FE 4 90 1.80 0.10 -0.14 3.88 0.65 0.08 1.10 
FR AL RE MA 1 84 0.44 -0.004 -0.03 0.42 -1.81 0.2 0.53 
